ticker,name,asset_type,sector,industry,market_cap
BKR,Baker Hughes Company,Stock,Energy,Oil & Gas Equipment & Services,62.0
MPWR,"Monolithic Power Systems, Inc.",Stock,Technology,Semiconductors,61.7
TRGP,Targa Resources Corp.,Stock,Energy,Oil & Gas Midstream,61.7
TFC,Truist Financial Corporation,Stock,Financial Services,Banks - Regional,61.6
COR,"Cencora, Inc.",Stock,Healthcare,Medical Distribution,61.5
GWW,"W.W. Grainger, Inc.",Stock,Industrials,Industrial Distribution,61.5
MET,"MetLife, Inc.",Stock,Financial Services,Insurance - Life,61.3
MPLX,MPLX LP,Stock,Energy,Oil & Gas Midstream,60.1
SCHG,Schwab U.S. Large-Cap Growth ETF,ETF,ETF,,60.0
IAU,iShares Gold Trust Shares,ETF,ETF,,59.7
OKE,"ONEOK, Inc.",Stock,Energy,Oil & Gas Midstream,59.7
OXY,Occidental Petroleum Corporation,Stock,Energy,Oil & Gas E&P,59.1
NKE,"NIKE, Inc.",Stock,Consumer Cyclical,Footwear & Accessories,58.7
O,Realty Income Corporation,Stock,Real Estate,REIT - Retail,58.6
PSA,Public Storage,Stock,Real Estate,REIT - Industrial,58.5
IXUS,iShares Core MSCI Total International Stock ETF,ETF,ETF,,58.4
AFL,Aflac Incorporated,Stock,Financial Services,Insurance - Life,58.4
LNG,"Cheniere Energy, Inc.",Stock,Energy,Oil & Gas Midstream,58.3
XLF,State Street Financial Select Sector SPDR ETF,ETF,ETF,,57.9
D,"Dominion Energy, Inc.",Stock,Utilities,Utilities - Regulated Electric,57.7
AU,AngloGold Ashanti plc,Stock,Basic Materials,Gold,57.2
FAST,Fastenal Company,Stock,Industrials,Industrial Distribution,57.1
NUE,Nucor Corporation,Stock,Basic Materials,Steel,56.8
CTVA,"Corteva, Inc.",Stock,Basic Materials,Agricultural Inputs,56.0
IWR,iShares Russell Mid-Cap ETF,ETF,ETF,,55.9
NDAQ,"Nasdaq, Inc.",Stock,Financial Services,Financial Data & Stock Exchanges,55.5
TER,"Teradyne, Inc.",Stock,Technology,Semiconductor Equipment & Materials,55.5
FANG,"Diamondback Energy, Inc.",Stock,Energy,Oil & Gas E&P,55.4
F,Ford Motor Company,Stock,Consumer Cyclical,Auto Manufacturers,55.3
MRNA,"Moderna, Inc.",Stock,Healthcare,Biotechnology,55.1
SRE,Sempra,Stock,Utilities,Utilities - Diversified,55.1
ADSK,"Autodesk, Inc.",Stock,Technology,Software - Application,55.0
COHR,Coherent Corp.,Stock,Technology,Scientific & Technical Instruments,54.7
CAH,"Cardinal Health, Inc.",Stock,Healthcare,Medical Distribution,54.6
KEYS,"Keysight Technologies, Inc.",Stock,Technology,Scientific & Technical Instruments,54.5
AME,"AMETEK, Inc.",Stock,Industrials,Specialty Industrial Machinery,54.2
CIEN,Ciena Corporation,Stock,Technology,Communication Equipment,53.6
FIX,"Comfort Systems USA, Inc.",Stock,Industrials,Engineering & Construction,53.5
CVNA,Carvana Co.,Stock,Consumer Cyclical,Auto & Truck Dealerships,53.3
STT,State Street Corporation,Stock,Financial Services,Asset Management,53.1
DAL,"Delta Air Lines, Inc.",Stock,Industrials,Airlines,52.7
SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,ETF,ETF,,52.2
DVN,Devon Energy Corporation,Stock,Energy,Oil & Gas E&P,52.1
VCSH,Vanguard Short-Term Corporate Bond ETF,ETF,ETF,,52.0
EW,Edwards Lifesciences Corporation,Stock,Healthcare,Medical Devices,52.0
BIV,Vanguard Intermediate-Term Bond ETF,ETF,ETF,,51.9
VONG,Vanguard Russell 1000 Growth ETF,ETF,ETF,,51.6
BDX,"Becton, Dickinson and Company",Stock,Healthcare,Medical Instruments & Supplies,51.6
HONA,Honeywell Aerospace Inc.,Stock,Industrials,Aerospace & Defense,51.5
VGIT,Vanguard Intermediate-Term Treasury ETF,ETF,ETF,,50.8
MSTR,Strategy Inc,Stock,Technology,Software - Application,50.6
ALAB,"Astera Labs, Inc.",Stock,Technology,Semiconductors,50.2
XYZ,"Block, Inc.",Stock,Technology,Software - Infrastructure,50.2
